user_input,retrieved_contexts,reference,context_recall,context_precision
"What year was the film that starred the composer for ""The Naked Brothers Band""?","['Nat and Alex Wolff\nNat and Alex Wolff are an American pop music duo from New York, New York, consisting of brothers Nat and Alex Wolff.  The siblings are known for their work on the Nickelodeon television series ""The Naked Brothers Band"", which was created and produced by their mother, actress Polly Draper.  It was adapted from the mockumentary film that Draper wrote and directed.  The duo\'s initial teen pop boy band called ""The Naked Brothers Band"" was depicted as part of its participation in their Nickelodeon series that aired from 2007 to 2009.  They have released four full-length albums and have been nominated for several awards.', 'Aliens (soundtrack)\nThe score to the 1986 James Cameron film ""Aliens"" was composed by James Horner.  The score itself includes musical references to Gayane\'s Adagio from Aram Khachaturian\'s ""Gayane"" ballet suite, which had been used in Stanley Kubrick\'s """" (1968).  The score also uses musical motifs, sound treatments and excerpts from Jerry Goldsmith\'s original soundtrack to ""Alien"" (1979).  Additional cues taken from Jerry Goldsmith\'s ""Alien"" score were used in the climax of the film when Horner was unable to finish some cues to Cameron\'s satisfaction.  The film\'s editors also reportedly altered the score\'s chronological flow, sometimes looping, truncating or removing the music and placing it in fragmented form in the film out of context.  Despite productio', 'Dead at 17\nDead at 17 is a 2008 Canadian drama film directed by Douglas Jackson. This film has been music composed by Richard Bowers. The film stars Barbara Niven, John Bregar, Justin Bradley, Matthew Raudsepp and Kyle Switzer in the lead roles.', 'List of accolades received by La La Land\n""La La Land"" is a 2016 American romantic musical comedy-drama film written and directed by Damien Chazelle.  Starring Ryan Gosling and Emma Stone, the film focuses on two young people struggling to make ends meet in Los Angeles, while pursuing their dreams as artists.  Justin Hurwitz composed the film\'s musical score, while Linus Sandgren was the cinematographer.  David and Sandy Reynolds-Wasco were responsible for the production design and Mary Zophres designed the costumes.']","The Fault in Our Stars is a 2014 American romantic drama film directed by Josh Boone, based on the novel of the same name by John Green.
Nathaniel Marvin ""Nat"" Wolff (born December 17, 1994) is an American actor, singer-songwriter, and musician.
 Wolff gained recognition for composing the music for ""The Naked Brothers Band"" (2007–09), a Nickelodeon television series he starred in with his younger brother Alex that was created by their actress mother Polly Draper.",0.0,0.9999999999
The author of Sexual Politics attended which British University?,"['Sexual Politics\nSexual Politics is a 1970 book by Kate Millett, based on her PhD dissertation.', 'Harris G. Mirkin\nHarris George Mirkin (24 August 1936 – 30 May 2013) was a political science professor who aroused controversy with an essay, ""The Pattern of Sexual Politics,"" published in the ""Journal of Homosexuality"".  This prompted the Missouri legislature to reduce the university\'s budget by the amount of Mirkin\'s salary, as a gesture of non-support for Mirkin\'s work.', 'Susie Bright\nSusannah ""Susie"" Bright, also known as Susie Sexpert (born March 25, 1958), is an American feminist, author, journalist, critic, editor, publisher, producer, and performer, often on the subject of sexual politics and sexuality.']","Sexual Politics is a 1970 book by Kate Millett, based on her PhD dissertation.
Katherine Murray Millett (September 14, 1934 – September 6, 2017) was an American feminist writer, educator, artist, and activist.
 She attended Oxford University and was the first American woman to be awarded a degree with first-class honors after studying at St Hilda's College, Oxford.",0.3333333333333333,0.9999999999
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?","['Roberta Vinci\nRoberta Vinci (] ; born 18 February 1983) is an Italian tennis player.  Up until 6 April 2015, she held the position of World No. 1 in doubles, while reaching a career-high of World No. 7 in singles in May 2016.  She is the fourth Italian woman to have reached the top 10 in singles, together with Flavia Pennetta, Francesca Schiavone and Sara Errani.  At 33 years and 4 days old, she is also the oldest ever player to make her first appearance in the Top 10.', ""Vito Frazzi\nVito Frazzi (1 August 1888 – 7 July 1975) was an Italian neo-romantic composer.  He was born in San Secondo Parmense, and studied at the Parma Conservatory, where he learnt composition from Guido Alberto Fano.  From 1912 to 1958 he taught piano, harmony, counterpoint and composition at the Florence Conservatory; there he came into contact with Ildebrando Pizzetti, who was director of the conservatory from 1917 to 1923, and who influenced Frazzi's compositional style.  Frazzi also taught at the Accademia Musicale Chigiana from 1936 to 1963.  His students included Bruno Bartolozzi, Bruno Bettinelli, Valentino Bucchi, Luigi Dallapiccola and Angelo Francesco Lavagnino."", 'O mio babbino caro\n""O mio babbino caro "" (""Oh My Beloved Father"") is a soprano aria from the opera ""Gianni Schicchi"" (1918) by Giacomo Puccini to a libretto by Giovacchino Forzano.  It is sung by Lauretta after tensions between her father Schicchi and the family of Rinuccio, the boy she loves, have reached a breaking point that threatens to separate her from Rinuccio.  It provides an interlude expressing lyrical simplicity and single-hearted love in contrast with the atmosphere of hypocrisy, jealousy, double-dealing, and feuding in the medieval Florence of Puccini\'s only comedy.  It provides the only set-piece in the through-composed opera.', 'Luigi Rossi\nLuigi Rossi (c. 1597 – 20 February 1653) was an Italian Baroque composer.  Rossi was born in Torremaggiore, a small town near Foggia, in the ancient kingdom of Naples and at an early age he went to Naples.  There he studied music with the Franco-Flemish composer Jean de Macque who was organist of the Santa Casa dell’Annunziata and ""maestro di cappella"" to the Spanish viceroy.  Rossi later entered the service of the Caetani, dukes of Traetta.']","Roberta Vinci (] ; born 18 February 1983) is an Italian tennis player.
 Up until 6 April 2015, she held the position of World No. 1 in doubles, while reaching a career-high of World No. 7 in singles in May 2016.
 His highest singles ranking was World No. 51, achieved the following month.",0.6666666666666666,0.9999999999
Both Truth in Science and Discovery embrace what campaign?,"['Truth in Science\nTruth in Science is a United Kingdom-based creationist organization which promotes the Discovery Institute\'s ""Teach the Controversy"" campaign, which it uses to try to get pseudoscientific intelligent design creationism taught alongside evolution in school science lessons.  The organization claims that there is scientific controversy about the validity of Darwinian evolution, a view rejected by the United Kingdom\'s Royal Society and over 50 Academies of Science around the world.  The group is affiliated with the Discovery Institute, the hub of the intelligent design movement, following its strategy and circulating the Institute\'s promotional materials.', 'Truth (anti-tobacco campaign)\nTruth (stylized as truth) is a national campaign aimed at curbing youth smoking in the United States.  The ""truth"" campaign is produced and funded by the American Legacy Foundation, a public health nonprofit organization established in 1999 under the Master Settlement Agreement between U.S. tobacco companies, 46 U.S. states, the District of Columbia, and five territories.  ""truth"" produces television and online content to promote anti-tobacco messages.  In August 2014, ""truth"" launched ""Finish It"", a redesigned campaign encouraging youth to be the generation that ends smoking.']","Truth in Science is a United Kingdom-based creationist organization which promotes the Discovery Institute's ""Teach the Controversy"" campaign, which it uses to try to get pseudoscientific intelligent design creationism taught alongside evolution in school science lessons.
 Its ""Teach the Controversy"" campaign aims to permit teaching of anti-evolution, intelligent-design beliefs in United States public high school science courses alongside accepted scientific theories, positing that a scientific controversy exists over these subjects.",0.5,0.9999999999
"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?","['We Bring an Arsenal\n""We Bring an Arsenal"" was supposed to be the second single from ""Weapons"", the fifth studio album by Welsh alternative rock band Lostprophets, planned to be released 4 June 2012.  It has been released to rock radio since this date in the United States, but the single has yet to be officially released in the UK as of 5 June 2012, but will unlikely happen due to Ian Watkins\'s imprisonment in 2013.  It was first played live on 25 February 2012 at Brisbane, Australia.', 'Ian Watkins (Lostprophets)\nIan David Karslake Watkins (born 30 July 1977) is a Welsh singer, musician, and convicted sex offender.  He achieved prominence as a founding member, lead vocalist, and lyricist of the rock band Lostprophets.  Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.  In November 2013, he pleaded guilty to 13 charges, including the attempted rape and sexual assault of a child under 13; these offences were committed against the infant children of two women who were also convicted.  He was subsequently jailed for 29 years and ordered to serve a further six years on extended licence.', 'Lonesome Pine Fiddlers\nThe Lonesome Pine Fiddlers (1938- 1966) were an early bluegrass band which included such notable ""first generation"" bluegrass musicians as Ezra Cline, Bobby Osborne, Paul Williams, Melvin Goins, Charlie Cline, Curly Ray Cline, Larry Richardson and for a short time Jimmy Martin.  The group was started by Ezra Cline and Curly Ray Cline and was originally named ""Cousin Ezra and the Lonesome Pine Fiddlers"".  The Clines came from a large family consisting of musically talented people.  Ray and Charlie\'s father, Charlie, was a talented banjo player and the women in the family, Geraldine and Bobbi, were great singers.  For reasons unknown, Bobbi and Geraldine never joined the band on the road but often joined in at home, especially when notab']","Josey Scott (born Joseph Scott Sappington; May 3, 1972) is the former lead vocalist of the rock band Saliva.
 Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.",0.5,0.99999999995
The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,"['Queen of Blood\nQueen of Blood is a 1966 color science fiction-horror film based on the screenplay for the earlier, Soviet film called ""Mechte Navstrechu"".  The film was produced by George Edwards and Samuel Z. Arkoff, directed by Curtis Harrington, and stars John Saxon, Basil Rathbone, Dennis Hopper, and Judi Meredith.  ""Queen of Blood"" was released by American International Pictures on a double bill with ""Blood Bath"".  Director Harrington reused special effects footage from the Soviet features ""Mechte Navstrechu"" and ""Nebo Zovyot"".', 'Battle Beyond the Sun\nBattle Beyond the Sun is the English-dubbed and re-edited U.S. version of ""Nebo Zovyot"", a 1959 Soviet science fiction film directed by Mikhail Karyukov and Aleksandr Kozyr.  It tells of the ""space race"" of two future nations competing to become the first to land a spacecraft on the planet Mars.', 'Girl Seeks Father\nGirl Seeks Father (Russian: Девочка ищет отца / Devochka ishchet otsa) is a 1959 Soviet drama film that was produced by Yuri Bulychyov at the Belarusfilm, directed by Lev Golub, and which stars Anna Kamenkova, Vladimir Guskov, Nikolai Barmin.  Writers: Konstantin Gubarevich, Yevgeny Ryss.  In 1959, it was the fifth film in Soviet Union in terms of the box office.  It was watched by over 35 millions spectators, which makes it the third watched Belarusian film ever.', 'I Was a Satellite of the Sun\nI Was a Satellite of the Sun - (Russian: Я был спутником Солнца ) Soviet feature dramatic science-fiction film of 1959 with animation elements.']"," Director Harrington reused special effects footage from the Soviet features ""Mechte Navstrechu"" and ""Nebo Zovyot"".
Battle Beyond the Sun is the English-dubbed and re-edited U.S. version of ""Nebo Zovyot"", a 1959 Soviet science fiction film directed by Mikhail Karyukov and Aleksandr Kozyr.",1.0,0.99999999995
"Who was born first, Erika Jayne or Marco Da Silva","['Marco Da Silva (dancer)\nMarco Da Silva (born May, 30th, 1977), is a Portuguese dancer and choreographer.  He was born in Bremen, Germany in a family of Portuguese descent.  His experience as a dancer includes several tours by Kylie Minogue, promotional tours for Minogue\'s singles (""Wow"", In My Arms"") and Britney Spears\'s ""Femme Fatale Tour"".  His dancing experience also includes ex-Spice Girl Geri Haliwell, TV commercials for Coca Cola, films as ""The Muppets – The Musical Movie"", and music videos such as Kylie Minogue\'s ""All I See"", ""In My Arms"", Mariah Carey\'s ""Thank God I Found You"", Erika Jayne\'s ""Pretty Mess"", Ninel Conde\'s ""Vivir Asi"", and George Michael\'s ""25 Tour"".', ""Marco da Silva (French footballer)\nMarco da Silva (born 10 April 1992) is a French football player who plays for French club Valenciennes in Ligue 1.  He plays as a midfielder and is a former graduate of the prestigious Clairefontaine academy.  After leaving Clairefontaine, da Silva joined Valenciennes and was promoted to its reserve team after two seasons in the club's youth academy.  He helped the team earn promotion to the Championnat de France amateur in the 2010–11 season and is the team's current captain.  Da Silva made his professional debut with Valenciennes on 31 August 2011 against Dijon in the Coupe de la Ligue.  He started the match and was substituted out after 73 minutes as Valenciennes were defeated 3–2."", 'Marquinhos (footballer, born June 1989)\nMarco da Silva Ignácio (born 15 June 1989), commonly known as Marquinhos, is a Brazilian footballer who plays for Santos.  Mainly an attacking midfielder, he can also play as a wing back.', 'José Graziano da Silva\nJosé Graziano da Silva (born November 17, 1949) is a Brazilian American agronomist and writer.  As a scholar, he has authored several books about the problems of agriculture in Brazil.  Between 2003 and 2004, Graziano served in the Luiz Inácio Lula da Silva cabinet as Extraordinary Minister for Food Security, being responsible for implementing the Fome Zero (Zero Hunger) program, which took 28 million people out of the national poverty line during the 8 years of the Lula administration .  On June 26, 2011, Graziano was elected director-general of the Food and Agriculture Organization (FAO), becoming the first Latin American ever to hold the position.  After his first term from 1 January 2012 to 31 July 2015, Graziano da Silva was re-el']","Marco Da Silva (born May, 30th, 1977), is a Portuguese dancer and choreographer.
Erika Girardi (born 10 July 1971), known professionally as Erika Jayne, is an American singer, actress and television personality.",0.5,0.99999999995
"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?","['Maiwand Lion\nThe Maiwand Lion is a sculpture and war memorial in the Forbury Gardens, a public park in the town of Reading, in the English county of Berkshire.  The statue was named after the Battle of Maiwand and was erected in 1884 to commemorate the deaths of 329 men from the 66th (Berkshire) Regiment of Foot during the campaign in the Second Anglo-Afghan War in Afghanistan between 1878 and 1880.  It is sometimes known locally as the Forbury Lion.', ""Devon County War Memorial\nThe Devon County War Memorial is a First World War memorial, designed by Sir Edwin Lutyens and situated on the cathedral green in Exeter, the county town of Devon, in the south west of England.  It is one of fifteen War Crosses designed by Lutyens to a similar specification, and one of two to serve as a civic memorial in a city.  The first proposal for the county's war memorial was to complete the construction of a cloister at Exeter Cathedral to be dedicated to the Devon's war dead, but this scheme was abandoned due to lack of funds.  After considering multiple proposals, the Devon County War Memorial Committee commissioned Lutyens to design a War Cross instead.  The committee chose to site the memorial on the green of Exeter Cathe""]","The Reading Post (until 2009, the Reading Evening Post), was an English local newspaper covering Reading, Berkshire and surrounding areas.
The Maiwand Lion is a sculpture and war memorial in the Forbury Gardens, a public park in the town of Reading, in the English county of Berkshire.",0.5,0.0
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,"['Lord of Islay\nLord of Islay was a thirteenth- and fourteenth-century title borne by the chiefs of Clann Domhnaill before they assumed the title ""Lord of the Isles"" in the late fourteenth century.  The first person regarded to have styled themself ""Lord of Islay"" is Aonghus Mór, son of the eponymous ancestor of the clan, Domhnall mac Raghnaill.  The designation ""of Islay"" was frequently used by these lords and later members of the clan.', 'Bratislava\nBratislava ( or ; ] , German: ""Preßburg"" or ""Pressburg "" ] ) is the capital of Slovakia, and with a population of about 450,000, the country\'s largest city.  The greater metropolitan area is home to more than 650,000 people.  Bratislava is in southwestern Slovakia, occupying both banks of the River Danube and the left bank of the River Morava.  Bordering Austria and Hungary, it is the only national capital that borders two sovereign states.', ""2017 Birthday Honours\nThe 2017 Queen's Birthday Honours are appointments by some of the 16 Commonwealth realms of Queen Elizabeth II to various orders and honours to reward and highlight good works by citizens of those countries.  The Birthday Honours are awarded as part of the Queen's Official Birthday celebrations during the month of June.  The Queen's Birthday Honours for the United Kingdom were announced on 16 June; the honours for New Zealand were announced on 5 June and for Australia on 12 June.""]","Aonghus Mór mac Domhnaill (died c.1293) was a leading figure in the thirteenth-century kingdoms of the Isles and Scotland.
The Kingdom of the Isles comprised the Hebrides, the islands of the Firth of Clyde and the Isle of Man from the 9th to the 13th centuries AD.
 The islands involved have a total land area of over 8300 km2 and extend for more than 500 km from north to south.",0.0,0.9999999999
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?","['Bruce Spizer\nDavid ""Bruce"" Spizer (born July 2, 1955) is a tax attorney in New Orleans, Louisiana, who is also recognized as an expert on The Beatles.  He has published eight books, and is frequently quoted as an authority on the history of the band and its recordings.', 'Daze (band)\nDaze is a Danish Eurodance/bubblegum dance band whose 1997 debut album ""Super Heroes"" became a double platinum international hit.  The band is a trio composed of Lucas Sieber, Jesper Tønnov, and Trine Bix, and their style of ""zany"" ""turbo-pop"" music is compared to the Danish pop band Aqua.  ""Super Heroes"", initially published in Scandinavia by Sony Music, sold 31,000 copies on the release day and was later released in the United States by Columbia Records and in Non-Nordic global territories by Epic Records.  Hit singles included ""Superhero"", ""Tamogotchi"" and ""Toy Boy"".  In February 1998, Daze won the Danish Grammy Award for Best Dance Album of 1997.  The single ""Superhero"" was nominated as 1997 Danish hit of the year by G.A.F.F.A. magazine.  It ', 'Will Wallner\nWill Wallner (born 24 January 1987) is an English rock guitarist and songwriter.  His main influences are Ritchie Blackmore, Gary Moore and John Sykes.  He began playing guitar at age 16 and received his first ""real guitar"", a Gibson Les Paul Custom, which he has played his entire career, at the age of 18.  He began playing guitar by ear, then had taken his first formal guitar lessons from a rock guitar teacher in his home town of Devon, England.  He is an alumnus of the prestigious Colyton Grammar School and a graduate of the University of Portsmouth with a BSc in Music and Sound Technology and has also studied at the Musicians Institute, in Hollywood.  Since 2012 he has been a regular contributor to Guitar World magazine with his weekly blog \'']","David ""Bruce"" Spizer (born July 2, 1955) is a tax attorney in New Orleans, Louisiana, who is also recognized as an expert on The Beatles.
 With members John Lennon, Paul McCartney, George Harrison and Ringo Starr, they became widely regarded as the foremost and most influential act of the rock era.",0.5,0.9999999999
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","['Chattahoochee (song)\n""Chattahoochee"" is a song co-written and recorded by American country music artist Alan Jackson.  It was released in May 1993 as the third single from his album ""A Lot About Livin\' (And a Little \'bout Love)"".  The album is named for a line in the song itself.  Jackson wrote the song with Jim McBride.', 'I Don\'t Wanna Know\n""I Don\'t Wanna Know"" is a song by American R&B artist Mario Winans, featuring a rap by P. Diddy, re-recorded background vocals by Enya and sampling the synthesizer riff from Enya\'s song ""Boadicea"".  It reached number 1 in the United Kingdom and in Netherlands, and number 2 in the United States, stuck for eight consecutive weeks behind the Usher singles ""Yeah"" and ""Burn"", respectively.  It remains Winans\' only major success to date.  As a result of its eight weeks at number 2, ""I Don\'t Wanna Know"" stands in joint fifth place for the most weeks at number 2 by a song which did not go to number 1, behind Foreigner\'s ""Waiting for a Girl Like You"", Missy Elliott\'s ""Work It"", Donna Lewis\'s ""I Love You Always Forever"" and Shania Twain\'s ""You\'re St', 'In My Country There Is Problem\n""In My Country There Is Problem"", also known as ""Throw the Jew Down the Well"" after the song\'s key line, is a song written by British comedian Sacha Baron Cohen for his comic character Borat Sagdiyev.  It features in the \'Country Music\' segment of ""Borat\'s Guide to the USA (Part 2)"", that focuses heavily on the (positive) reaction of the patrons of an Arizona country and western bar to the antisemitic sentiments of the song.  It appeared in """".', 'A Lot About Livin\' (And a Little \'bout Love)\nA Lot About Livin\' (And a Little \'bout Love) is the third studio album by American country music artist Alan Jackson.  It was released on October 6, 1992, and produced the singles ""Chattahoochee"", ""She\'s Got the Rhythm (And I Got the Blues)"", ""Tonight I Climbed the Wall"", ""(Who Says) You Can\'t Have It All"" and ""Mercury Blues"".  ""Chattahoochee"" and ""She\'s Got the Rhythm"" were both Number One hits on the Hot Country Songs charts, while the other three songs all reached Top Five.', 'ubb (who would never have received radio airplay in the late 1970s and early 80\'s) and reaching #6 was a slap in the face to the proponents of the country pop sound.  The lyrics of the song, much like Williams\' ""Family Tradition"" echo the sentiment that the outlaw singers and their current escapades were predated by the hard living honky tonkers of the 1950s such as Hank Williams, Sr. and Ernest Tubb, prior to the music being fairly taken over by the Nashville Sound in the 1960s.']","""We'll Burn That Bridge"" is a song written by Don Cook and Ronnie Dunn and recorded by American country music duo Brooks & Dunn.
 Released in May 1993 as the second single from their CD, ""Hard Workin' Man"", it peaked at #2 on the country charts for two weeks, behind ""Chattahoochee"" by Alan Jackson.
 It was released in May 1993 as the third single from his album ""A Lot About Livin' (And a Little 'bout Love)"".",0.3333333333333333,0.7499999999625
What occupation was shared by David Yates and Pietro Germi?,"['Divorce Italian Style\nDivorce Italian Style (Italian: ""Divorzio all\'italiana"" ) is a 1961 Italian comedy film directed by Pietro Germi.  The screenplay was written by Ennio De Concini, Pietro Germi, Alfredo Giannetti, and Agenore Incrocci; based on the novel ""Un delitto d\'onore"" (""Honour Killing"") by Giovanni Arpino.  It stars Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli, Lando Buzzanca, and Leopoldo Trieste.  The movie won the Academy Award for Best Writing, Story and Screenplay - Written Directly for the Screen; Mastroianni was nominated for Best Actor in a Leading Role (Marcello Mastroianni) and Germi for Best Director.', 'Summer Holiday (1963 film)\nSummer Holiday is a British CinemaScope and Technicolor musical film featuring singer Cliff Richard.  The film was directed by Peter Yates (his debut), produced by Kenneth Harper.  The original screenplay was written by Peter Myers and Ronald Cass (who also wrote most of the song numbers and lyrics).  The cast includes Lauri Peters, Melvyn Hayes, Teddy Green, Jeremy Bulloch, Una Stubbs, Pamela Hart, Jacqueline Daryl, Lionel Murton, Madge Ryan, David Kossoff, Nicholas Phipps, Ron Moody and The Shadows.  Herbert Ross choreographed the musical numbers.', 'Yannis Pappas\nYannis Pappas is a Greek-American comedian born and raised in Park Slope Brooklyn, New York.  Both of his parents, Anna and Chris, practiced law.  He is the youngest of three children.  He has two older brothers, Peter and Nikos Pappas.  His brother Peter is also a lawyer who worked for the Clinton and Obama administrations.  Yannis attended college at the American University in Washington, D.C. where he studied American Studies and History.  Pappas previously also worked in the social work field where he participated in 9/11 disaster relief for two and a half years and worked with the mentally ill and people dealing with homelessness for three years with Lutheran Social Services.', 'The Worst Journey in the World (docudrama)\nThe Worst Journey in the World is a 2007 BBC Television docudrama based on the memoir of the same name by polar explorer Apsley Cherry-Garrard.  The narrator Barry Letts, best known for his tenure as the producer of ""Doctor Who"", played Cherry-Garrard in the 1948 film ""Scott of the Antarctic"".', ""'Alesandro, Jr. The team's current majority owner is lawyer Peter Angelos.""]","David Yates (born (1963--)08 1963 ) is an English filmmaker who has directed feature films, short films, and television productions.
Pietro Germi (] ; 14 September 1914 – 5 December 1974) was an Italian actor, screenwriter, and director.",0.5,0.19999999998
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?","[""Baltimore Orioles\nThe Baltimore Orioles are an American professional baseball team based in Baltimore, Maryland.  The Orioles compete in Major League Baseball (MLB) as a member of the American League (AL) East division.  As one of the AL's original eight charter franchises when the league was established in 1901, this particular franchise spent its first year as a major league club in Milwaukee, Wisconsin, as the Milwaukee Brewers before moving to St. Louis, Missouri to become the St. Louis Browns.  After 52 often-beleaguered years in St. Louis, the franchise was purchased in November 1953 by a syndicate of Baltimore business and civic interests led by attorney/civic activist Clarence Miles and Mayor Thomas D'Alesandro, Jr. The team's current majority owner "", 'Cody Eppley\nCody Allen Eppley (born October 8, 1985) is an American professional baseball pitcher for the Southern Maryland Blue Crabs of the Atlantic League of Professional Baseball.  He recently played for the Lancaster Barnstormers of the Atlantic League of Professional Baseball.  He has also played in Major League Baseball for the Texas Rangers and New York Yankees.']","Marcus Wayne Garland (born October 26, 1950) is a retired American right-handed pitcher who spent nine seasons from 1973 to 1981 in Major League Baseball (MLB) with the Baltimore Orioles (1973–1976) and Cleveland Indians (1977–1981).
The Baltimore Orioles are an American professional baseball team based in Baltimore, Maryland.
 As one of the AL's original eight charter franchises when the league was established in 1901, this particular franchise spent its first year as a major league club in Milwaukee, Wisconsin, as the Milwaukee Brewers before moving to St. Louis, Missouri to become the St. Louis Browns.",0.6666666666666666,0.9999999999
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,"['Argand lamp\nThe Argand lamp, a kind of oil lamp, was invented and patented in 1780 by Aimé Argand.  Its output is 6 to 10 candela, brighter than that of earlier lamps.  Its more complete combustion of the candle wick and oil than in other lamps required much less frequent trimming of the wick.']","The Lewis lamp is a type of light fixture used in lighthouses.
The Argand lamp, a kind of oil lamp, was invented and patented in 1780 by Aimé Argand.",0.5,0.9999999999
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?","['When Harry Met Sally... (soundtrack)\nWhen Harry Met Sally... is the soundtrack to the movie ""When Harry Met Sally..."" starring Billy Crystal and Meg Ryan.  The songs are performed by pianist Harry Connick Jr., who won the Grammy Award for Best Jazz Male Vocal Performance.', ' five of the ""Billboard"" 200 in the United States and selling over three million copies worldwide.  The album spawned three singles, all of which were used extensively in films and video games following their release.  Zombie released remixed versions of songs from his debut studio album on ""American Made Music to Strip By"" (1999), which peaked inside the top forty in the United States.', 'Camille Zamora\nCamille Amy Zamora (born December 14, 1970) is an American soprano recognized for her performance of opera, zarzuela, oratorio, art song and American songbook.  She performs repertoire ranging from the early Baroque to 21st century premieres by composers including Grammy Award winners Robert Aldridge and Herschel Garfein as well as Prix de Rome winner Christopher Theofanidis.']"," The songs are performed by pianist Harry Connick Jr., who won the Grammy Award for Best Jazz Male Vocal Performance.
 He has had seven top20 US albums, and ten number-one US jazz albums, earning more number-one albums than any other artist in US jazz chart history.",0.5,0.0
Are Broughtonia and Laeliocattleya both orchids?,"['Broughtonia sanguinea\nBroughtonia sanguinea, also known as Blood Red Broughtonia is a plant in the genus ""Broughtonia"", a member of the Orchidaceae family.  The genus is abbreviated Bro in trade journals.', 'Elatostema\nElatostema is a genus of flowering plants containing approximately 350 known species in the nettle family Urticaceae, native to tropical forest clearings throughout Australasia, Asia and Africa.  There may be as many as 1,000 species of this little-known genus, which is susceptible to deforestation and other forms of human exploitation.  Some species, for instance the recently discovered ""E. fengshanense"", show unusual adaptations to growing in deep shade in caves.  DNA analysis suggests that the three genera ""Elastostema"", ""Pellionia"", and ""Pilea"" be grouped together as one.', 'Pterostylis chocolatina\nPterostylis chocolatina, commonly known as the chocolate-lip leafy greenhood, is a plant in the orchid family Orchidaceae and is endemic to New South Wales.  As with similar greenhoods, the flowering plants differ from those which are not flowering.  The non-flowering plants have a rosette of leaves on a short stalk but the flowering plants lack a rosette and have up to thirteen green flowers on a flowering stem with stem leaves.  The labellum is dark brown with a blackish lump near its base.', 'Pterostylis barringtonensis\nPterostylis barringtonensis, commonly known as the Barrington leafy greenhood, is a plant in the orchid family Orchidaceae and is endemic to New South Wales.  As with similar greenhoods, the flowering plants differ from those which are not flowering.  The non-flowering plants have a rosette of leaves on a short stalk but the flowering plants lack a rosette and have up to seven dark green flowers on a flowering stem with stem leaves.  It is only known from Barrington Tops National Park.']","Broughtonia is a genus of orchids (family Orchidaceae) native to the Bahamas and the Greater Antilles.
Laeliocattleya is a nothogenus of intergeneric orchid hybrids descended from the parental genera ""Laelia"" and ""Cattleya"".",0.0,0.9999999999
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,"['Qatar 2022 FIFA World Cup bid\nThe Qatar 2022 FIFA World Cup bid was a bid by Qatar to host the 2022 FIFA World Cup.  The bid has come under FBI investigation for bribery and corruption, leading to the resignation of FIFA President Sepp Blatter.  With a population of 2 million people, Qatar will be the first Arab state to host the World Cup.', 'ut of the race to host the 2022 FIFA World Cup.  On December 2, 2010 Russia was chosen as the host country for the 2018 FIFA World Cup.', ""2014 FIFA World Cup\nThe 2014 FIFA World Cup was the 20th FIFA World Cup, the quadrennial world championship for men's national football teams organized by FIFA.  It took place in Brazil from 12 June to 13 July 2014, after the country was awarded the hosting rights in 2007.  It was the second time that Brazil staged the competition, the first being in 1950, and the fifth time that it was held in South America.""]"," In 2014, Algeria qualifyed for the first time into the round of 16.
 It took place in Brazil from 12 June to 13 July 2014, after the country was awarded the hosting rights in 2007.",0.5,0.3333333333
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?","['Seven Days Union order of battle\nThe following Union Army units and commanders fought in the Seven Days Battles (from June 25 to July 1, 1862) of the American Civil War.  Order of battle compiled from the army organization-return of casualties during the battle and the reports.  The Confederate order of battle is listed separately.']","The Seven Days Battles were a series of six major battles over the seven days from June 25 to July 1, 1862, near Richmond, Virginia, during the American Civil War.
The Battle of Manila (February 3, 1945 – March 3, 1945) was a major battle of the Philippine campaign of 1944-45, during the Second World War.",0.0,0.9999999999
